CUST_ID,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
C10001,12,9,2,0,1,0,0,1,1,0,1,0,2,1,1,1,0,3
C10002,12,10,0,0,0,3,3,4,0,0,0,5,5,4,3,0,1,1
C10003,12,10,10,10,0,0,0,3,2,2,0,0,5,2,2,3,0,2
C10004,12,7,1,1,0,1,0,3,3,3,0,1,5,0,2,1,1,3
C10005,12,10,1,1,0,0,0,2,1,1,0,0,3,2,1,1,0,3
C10006,12,10,7,0,6,0,0,3,3,0,3,0,3,3,3,2,0,0
C10007,12,10,10,10,10,0,10,2,5,5,2,0,6,5,1,7,0,2
C10008,12,10,10,0,10,0,0,3,1,0,1,0,3,2,2,3,0,0
C10009,12,10,4,1,3,0,0,3,2,2,1,0,5,2,1,1,0,3
C10010,12,6,2,2,0,0,0,1,3,3,0,0,6,3,1,1,0,3
C10011,12,10,10,0,10,0,0,3,2,0,2,0,3,3,3,3,0,0
C10012,12,9,3,3,0,0,0,2,3,3,0,0,3,2,1,2,0,3
C10013,12,10,10,3,10,0,3,3,4,3,2,0,3,2,1,5,0,2
C10014,12,10,8,2,8,0,1,2,3,1,3,0,5,3,1,5,0,0
C10015,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
C10016,12,10,5,0,5,2,0,5,3,0,3,3,5,3,3,3,1,1
C10017,8,9,0,0,0,3,0,3,0,0,0,3,3,1,1,0,1,3
C10018,12,5,5,0,4,0,3,1,2,0,2,0,3,1,1,2,0,0
C10019,12,10,7,1,6,0,0,3,2,1,1,0,6,3,2,2,0,0
C10020,12,10,10,0,10,0,0,4,1,0,1,0,4,3,6,3,0,0
C10021,12,10,7,0,7,0,0,3,1,0,1,0,3,1,6,2,0,0
C10022,12,10,10,10,10,4,0,5,5,5,1,1,6,3,3,7,2,2
C10023,12,7,10,0,10,0,0,1,2,0,2,0,3,3,1,4,0,0
C10024,12,9,10,1,10,4,0,4,4,4,2,5,5,5,3,3,3,2
C10025,11,10,0,0,0,4,0,5,0,0,0,2,5,3,3,0,1,1
C10026,12,10,10,0,10,0,0,1,1,0,1,0,3,1,1,3,0,0
C10027,12,10,2,2,0,3,0,3,1,1,0,1,3,2,2,1,1,3
C10028,12,10,10,0,10,0,0,1,1,0,1,0,2,1,1,3,0,0
C10029,12,10,7,2,5,9,0,5,1,1,1,3,6,3,3,2,4,1
C10030,12,10,5,0,5,0,0,1,1,0,1,0,5,1,1,1,0,0
C10031,12,10,10,2,10,5,0,6,4,3,3,4,6,4,4,7,2,2
C10032,12,10,10,1,10,2,0,3,3,1,2,1,5,2,1,6,1,0
C10033,12,10,1,1,0,2,0,5,1,1,0,3,6,3,3,1,1,1
C10034,12,10,10,10,0,0,3,1,2,2,0,0,3,1,1,3,0,2
C10035,12,8,10,0,10,0,0,4,2,0,2,0,6,5,6,3,0,2
C10036,12,10,0,0,0,1,0,3,0,0,0,1,3,1,2,0,1,3
C10037,11,10,0,0,0,8,0,5,0,0,0,5,5,3,3,0,3,1
C10038,12,10,8,5,8,4,0,4,3,3,2,3,4,3,3,6,2,2
C10039,12,10,1,1,0,4,0,5,1,1,0,3,5,3,3,1,3,1
C10040,12,5,1,1,0,4,4,3,2,2,0,5,5,6,2,2,2,1
